dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Implementação e validação de modelo computacional de relé de proteção de linhas de transmissão baseado em análises no domínio do tempo,"Ribeiro, Eduardo Passos Aquino",2020-07-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/39586,,,Acesso Aberto,Sistemas de energia elétrica||Energia elétrica - distribuição||Grandezas incrementais||Ondas viajantes,Dissertação
Implementação em hardware de um acelerador hibrido viterbi-plan7/algoritmo das divergências para comparação de proteinas,"Giraldo, Juan Fernando Eusse",2009-11-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8240,,Acesso Aberto,,Engenharia elétrica - biologia computacional||Algoritmos de computador - bioengenharia||Engenharia de software - bioquímica - síntese protéica,Dissertação
Implementation of attitude determination techniques for a small satellite three-axis simulator,"Guimarães, Fernando Cardoso",2018-07-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34246,,,Acesso Aberto,"Kalman, filtragem de||Microeletrônica||Simulador de satélites||Computadores de bordo",Dissertação
Indicadores da entrega dos serviços prestados pelas unidades de resposta audíveis (URAs) das centrais de relacionamento aos clientes das empresas de telefonia do mercado brasileiro,"Boarin, Marcelo Ferreira",2010-07-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7213,,Acesso Aberto,,Telecomunicações||Tecnologia da informação e da comunicação||Engenharia elétrica,Dissertação
Influência da corrente capacitiva de linhas de transmissão no desempenho da função de proteção de distância,"Silva, Suellen Paula de Oliveira",2018-04-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/32550,,,Acesso Aberto,Linhas de transmissão||Corrente capacitiva||Energia elétrica - transmissão,Dissertação
"Influência da utilização de processo unificado, testes e métricas na qualidade de produtos de software","Calçado, Vera Lúcia Xavier de Sales",2007-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2853,,Acesso Aberto,,Engenharia elétrica||Software - controle de qualidade,Dissertação
Influência das interconexões sobre o desempenho de circuitos integrados nanoeletrônicos baseados em transistores mono-elétron,"Carneiro, Vítor Gouvêa Andrezo",2007-12-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7227,,Acesso Aberto,,Nanoeletrônica||Transistores||Circuitos integrados,Dissertação
Influência de feixes de condutores em linhas de transmissão UAT CA,"Borin, Patrícia de Oliveira Freitas",2015-12-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20546,http://dx.doi.org/10.26512/2015.D.20546,Acesso Aberto,,"Linhas de transmissão||Maxwell, James Clerk, 1831-1879||Ultra Alta Tensão (UAT)||Elementos finitos",Dissertação
Influência de ondas eletromagnéticas oriundas de descargas atmosféricas em pessoas portadoras de próteseInfluência de ondas eletromagnéticas oriundas de descargas atmosféricas em pessoas portadoras de prótese,"Silva, Alcides Leandro da",2014-03-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16924,,Acesso Aberto,,Prótese||Eletrofisiologia||Correntes elétricas||Ondas eletromagnéticas,Tese
Influência de Sistemas HVDC no desempenho da proteção de distância de linhas de transmissão CA,"Tavares, José Jorge Corrêa",2020-06-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/39451,,,Acesso Aberto,Sistemas High Voltage Direct Current||Conversores de corrente elétrica||Energia elétrica - transmissão||Proteção de distância,Dissertação
Influência do corpo humano sobre terminais de comunicação móvel e análise do erro da modelagem de canais de Kronecker,"Santos Júnior, Marcos Patricio dos",2013-02-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13515,,Acesso Aberto,,Sistemas de comunicação móvel||Antenas (Eletrônica)||Corpo humano,Dissertação
Information-theoretic analysis of convolutional autoencoders,"Amaral, Frederico Carvalho Fontes do",2022-08-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/45303,,,Acesso Aberto,Aprendizado teórico||Teoria da informação||Mecanismos de aprendizagem,Dissertação
InfoSecRM: uma ontologia para gestão de riscos de segurança da informação,"Gualberto, Éder Souza",2011-12-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10389,,Acesso Aberto,,Sistemas de recuperação da informação - segurança||Criptografia de dados (Computação),Dissertação
Instrumentação e controle de atitude para helimodelo montado em uma plataforma de testes,"Martins, Alexandre Simões",2008,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1031,,,Acesso Aberto,Aeronaves||Robótica||Veículo aéreo,Dissertação
Instrumentação e controle de um robô aéreo baseado em um helimodelo,"Beckmann, Ener Diniz",2008-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3022,,Acesso Aberto,,Engenharia aeroespacial||Robótica,Dissertação
Instrumentação e controle em ciclismo assistido por estimulação elétrica para indivíduos com lesão medular,"Fonseca, Lucas Oliveira da",2015-12-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20105,http://dx.doi.org/10.26512/2015.12.D.20105,Acesso Aberto,,Estimulação elétrica||Sistema nervoso||Esporte adaptado||Reabilitação,Dissertação
Instrumentação e identificação de um ambiente predial visando controle preditivo do conforto térmico,"Oliveira, Flávio Augusto Rodrigues de",2010-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6005,,Acesso Aberto,,Automação predial||Engenharia elétrica||Modelos matemáticos,Dissertação
Instrumentalização da análise e projeto de software seguro baseada em ameaças e padrõesInstrumentalização da análise e projeto de software seguro baseada em ameaças e padrões,"Braz, Fabricio Ataides",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4089,,Acesso Aberto,,Engenharia de software||Software - desenvolvimento||Software - computadores - medidas de segurança||Padrões de software - computadores - medida de segurança,Tese
Instrumento de medição do coeficiente de transferência de calor por convecção da artéria hepática e da veia porta,"Miguel, Alaor Faria",2006-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6207,http://dx.doi.org/10.26512/2006.08.D.6207,Acesso Aberto,,Fígado - doenças||Instrumentos e aparelhos cirúrgicos||Engenharia elétrica||Câncer,Dissertação
Integração da segurança na gestão de TI : uma proposta de abordagem sistêmica,"Soares, Eliane Carneiro",2011-07-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9823,,Acesso Aberto,,Tecnologia da informação||Sistemas de segurança||Governança corporativa,Dissertação
Integração de processos e TOM-ITIL para provedores de serviços de telecomunicações e TOM e clientes ITIL V3,"Tomiak, Rubens",2008-07-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5675,,Acesso Aberto,,Telecomunicações,Dissertação
Integração de sistemas óptico e microfluídico para caracterização e monitoramento em tempo real de emulsões de água em óleo,"Santos, Rômulo Ferreira dos",2025-03-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/53044,,,Acesso Aberto,Microfluídica||Optofluídica||Emulsões||Caracterização óptica||Medições em tempo real,Dissertação
Integration and design of a reconfigurable reflectarray antenna with an RF LoRa-based system for IoT multi-protocol applications,"Sousa, Daniel Carvalho de",2022-12-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/46308,,,Acesso Aberto,Antenas (Eletrônica)||Comunicação via satélite||Beamforming,Dissertação
Inteligência computacional no apoio ao diagnóstico da doença de Alzheimer,"Saraiva Junior, Raimundo Guimarães",2023-12-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48094,,,Acesso Aberto,"Alzheimer, Doença de||Aprendizado de máquina||Alzheimer, Doença de - diagnóstico||Aprendizagem profunda",Tese
Interconexão ótica de data centers usando fibras multimodo,"Teichmann, Victor Soares Campos",2012-12-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13036,,Acesso Aberto,,Comunicações ópticas||Fibras óticas||Processamento digital de sinais||Modulação,Dissertação
"Interferência intersimbólica, ruído e capacidade de canal em um sistema de comunicação através-da-terra","Silva, Lucas Sousa e",2017-07-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24931,http://dx.doi.org/10.26512/2017.07.D.24931,,Acesso Aberto,Sistemas de comunicação||Minas e mineração||Canais de comunicação,Dissertação
Interseção privada de conjuntos com e sem terceira parte confiável utilizando Paillier,"Macedo, Vitor Veneza Quimas",2016-12-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23056,http://dx.doi.org/10.26512/2016.12.D.23056,Acesso Aberto,,Computação||Polinômios||Sistema criptográfico Paillier||Interseção privada de conjuntos,Dissertação
Investigating power factor definitions in the context of unbalanced loads and voltages,"Brasil, Victor P.||Ishihara, João Yoshiyuki||Ferreira Filho, Anésio de Leles",,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/52456,10.1109/TPWRD.2024.3403040,,Acesso Restrito,Fator de potência||Distorção harmônica||Desequilíbrio de tensão,Artigo
Investigation of perturbation approaches in the solution of Ill-conditioned large-scale power flow problems,"Oliveira, Laice Neves de",2024-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51753,,,Acesso Aberto,Fluxo de potência||Método Newton-Raphson||Sistemas mal-condicionados||Etapa de condicionamento,Tese
JOODBMS : implementação de um sistema de persistência e recuperação de objetos em Java,"Miranda, Robson Paniago de",2006-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2225,http://dx.doi.org/10.26512/2006.07.D.2225,Acesso Aberto,,Engenharia de software||Banco de dados||Linguagem computacional||Java,Dissertação
Kinematic control based on dual quaternion algebra and its application to robot manipulatorsKinematic control based on dual quaternion algebra and its application to robot manipulators,"Figueredo, Luis Felipe da Cruz",2016-07-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21834,http://dx.doi.org/10.26512/2016.07.T.21834,Acesso Aberto,,Manipuladores robóticos||Cinemática das máquinas||Sistemas híbridos||Robôs,Tese
KNOCKID : uma nova abordagem para autenticação baseada em camada de rede,"Reis, Diógenes Ferreira",2012-08-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11581,,Acesso Aberto,,Redes de computação - medidas de segurança||Assinatura digital,Dissertação
Ku band RF front end receiver of a mobile terminal for satellite communication and IoT solutions,"Andrade, Guilherme Felix de",2022-12-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/46011,,,Acesso Aberto,Comunicação via satélite||Internet das Coisas (IoT)||Banda Ku,Tese
Limitação de correntes de falta fase-terra por meio do ajuste de bobina de petersen em neutro de transformadores de potência,"Moraes, José Carlos de",2009-02-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4506,,Acesso Aberto,,Transformadores elétricos||Eletrostática,Dissertação
Linearização exata adaptativa aplicada ao controle preditivo de processo de nível muntivariável,"Freitas, Alfredo Américo de",2007-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2385,,Acesso Aberto,,Sistemas lineares||Controle linear||Filtros elétricos,Dissertação
Localização de faltas em linhas paralelas baseada na teoria de ondas viajantes utilizando dados de um terminal,"Magalhães Júnior, Fernando Marinho de",2019-07-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/36888,,,Acesso Aberto,Ondas viajantes - transmissão||Localização de faltas||Linhas paralelas||Linhas de transmissão,Dissertação
Localização de sensores em sistemas de comunicações através da terra,"Rodrigues, Artur Araújo",2018-12-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/35122,,,Acesso Aberto,Mineração industrial||Comunicações através da terra||Sensores||Comunicações subterrâneas||Otimização não linear,Dissertação
Localização e dimensionamento de unidades de geração distribuída em redes de distribuição radiais,"Guedes, Larissa de Matos",2006-08-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3690,http://dx.doi.org/10.26512/2006.08.D.3690,Acesso Aberto,,Energia elétrica - distribuição||Engenharia elétrica,Dissertação
Localização e mapeamento simultâneos em grandes ambientes : uma abordagem híbrida,"Alves, Eduardo da Silva",2012-12-21,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17075,,Acesso Aberto,,Sistemas híbridos||Robótica||Robôs móveis,Dissertação
Localização visual inercial com auto-calibração dos parâmetros internos de câmera monocular,"Pio, Artur Borges",2019-07-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/37095,,,Acesso Aberto,Robôs||Localização visual inercial||Odometria visual||Filtro de Kalman,Dissertação
Low-cost microwave sensor for detecting the first generation of microplastic in aqueous media,"Desbas, Josaphat",2024-11-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51752,,,Acesso Aberto,Microplásticos||Microplásticos - detecção||Sensores de ressonador||Ressonância eletromagnética||Deslocamento de frequência (Engenharia),Dissertação
LUACOMP : ferramenta de autoria de aplicações para tv digital,"Souza Júnior, Paulo José de",2009-03-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4215,,Acesso Aberto,,Televisão digital||Linguagem de programação (Computadores),Dissertação
Maldetect : uma metodologia automatizável de detecção de malwares desconhecidos,"Santos, Leandro Silva dos",2016-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21543,http://dx.doi.org/10.26512/2016.06.D.21543,Acesso Aberto,,Ataques cibernéticos||Malwares - detecção||Programação (Computadores),Dissertação
Management Information Base (MIB) de gerenciamento de confiança em redes ad-Hoc,"Santana, Beatriz Campos",2012-04-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11580,,Acesso Aberto,,Redes de computação - gerência||Redes de computação - medidas de segurança,Dissertação
Matriz de linha de transmissão tridimensional SCN- TD e FD contribuição ao desenvolvimento de ferramentas computacionais para campos eletromagnéticos,"Souza, João Antonio Assad de",2006-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6727,http://dx.doi.org/10.26512/2006.06.D.6727,Acesso Aberto,,Eletromagnetismo||Circuitos eletrônicos||Engenharia elétrica,Dissertação
Mecanismo de otimização para sobrevivência em WLAN : estudo de caso de rede IEEE 802.11.Mecanismo de otimização para sobrevivência em WLAN : estudo de caso de rede IEEE 802.11.,"Deus, Flávio Elias Gomes de",2006-11-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5038,,Acesso Aberto,,Redes de computação - planejamento||Rede local sem fio,Tese
Mecanismo funcional escalável para contabilização de uso de serviços residenciais em rede de acesso em banda larga utilizando tecnologia ADSL,"Gruszynski, André",2008-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2462,,Acesso Aberto,,Internet||Redes de computação||Banda larga||ADSL||Telecomunicações,Dissertação
Mecanismos de avaliação do sistema de gestão de operações de tecnologia da informação : estudo em uma empresa do setor de telecomunicações,"Soares, Cleids Maria Lisbôa Cardoso",2015-03-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18877,http://dx.doi.org/10.26512/2015.03.D.18877,Acesso Aberto,,Tecnologia da informação||Organizações privadas||Teoria das restrições||Sistemas flexíveis,Dissertação
Mecanismos de proteção de conteúdo e modelamento DRM em TV digital,"Barbosa, Ana Claudia Dytz",2008-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1380,,,Acesso Aberto,Televisão digital||DRM||Direitos digitais||Metadados,Dissertação
Medição do rendimento global de um sistema Fotovoltaico isolado utilizando módulos de 32 células,"Shayani, Rafael Amaral",2006-07-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2315,http://dx.doi.org/10.26512/2006.07.D.2315,Acesso Aberto,,Energia - fontes alternativas||Sistema fotovoltaico||Energia solar,Dissertação
Medição eletrônica em baixa tensão : aspectos regulatórios e recomendações para implantação,"Lamin, Hugo",2009-06-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4040,,Acesso Aberto,,Medidas eletrônicas||Energia elétrica - distribuição,Dissertação
Medidas de campo em frequência modulada em modo simulcast visando a digitalização da rádio comunitária no Brasil.,"Silva Filho, José Gomes da",2014-02-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16421,,Acesso Aberto,,Radiodifusão comunitária||Comunicações digitais||Rádio,Dissertação
Medidores eletrônicos : análise de viabilidade econômica no contexto das redes inteligentes,"Leite, Davi Rabelo Viana",2013-03-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13503,,Acesso Aberto,,Energia elétrica - consumo||Sistemas de energia elétrica,Dissertação
A metaheuristic and simheuristic approach for the p-Hub median problem from a telecommunication perspective,"Alvarez Fernandez, Stephanie Milena",2018-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34925,,,Acesso Aberto,Meta-heurística||Sistemas de telecomunicações||Hubs - localização,Tese
Metamodelo de indicadores de desempenho : uma proposta para centrais de atendimento,"Nagamine, José Carlos",2010-06-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7914,,Acesso Aberto,,Indicador de desempenho||Engenharia de software||Análise de redes (Planejamento),Dissertação
Metamodelo para adaptação de confiança e reputação em sistemas multiagente dinâmicosMetamodelo para adaptação de confiança e reputação em sistemas multiagente dinâmicos,"Hoelz, Bruno Werneck Pinto",2013-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15238,,Acesso Aberto,,Sistemas Multiagentes (SMA)||Confiança||Inteligência artificial,Tese
Methods for estimating user position in the near-field regime,"Rocha, Larissa Aidê Araújo",2024-05-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50922,,,Acesso Aberto,Antenas (Eletrônica)||Sensores,Dissertação
Metodologia adaptativa baseada na teoria de ondas viajantes para localização de faltas em linhas de transmissão,"Cunha, Gustavo Abreu da",2020-11-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40778,,,Acesso Aberto,Localização de faltas||Ondas viajantes - transmissão||Transitórios eletromagnéticos||Linhas de transmissão||Alternative Transients Program (ATP),Dissertação
Metodologia alternativa para a quantificação do desequilíbrio de tensão baseada nos efeitos da temperatura e do rendimento de motores de indução trifásicos,"Silva, Marcos Diego de Castro",2020-02-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38904,,,Acesso Aberto,Quantificação do desequilíbrio de tensão||Motor de indução trifásico||Temperatura||Rendimento,Tese
Metodologia de cálculo de espectro para suportar a evolução do sistema móvel celular,"Silva, Esdras Simões da",2007-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3239,,Acesso Aberto,,Cálculo||Análise espectral||Sistemas de comunicação móvel||Sistemas de energia elétrica||Telefonia celular,Dissertação
Metodologia de estimação do ângulo do joelho para detecção da intenção de movimentoMetodologia de estimação do ângulo do joelho para detecção da intenção de movimento,"Delis, Alberto López",2010-03-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7354,,Acesso Aberto,,Engenharia elétrica||Próteses mecânicas,Tese
Metodologia de síntese de filtros de microondas de topologias arbitrárias utilizando algoritmo evolucionário híbrido (memético) associado a conhecimento especialistaMetodologia de síntese de filtros de microondas de topologias arbitrárias utilizando algoritmo evolucionário híbrido (memético) associado a conhecimento especialista,"Dantas, Maria José Pereira",2008-06-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6885,,Acesso Aberto,,Microondas||Filtros elétricos||Algoritmos,Tese
Metodologia e arquitetura para sistematização do processo investigatório de análise da informação digital,"Costa, Levi Roberto",2012-02-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12117,,Acesso Aberto,,Computação forense||Investigação||Documentos eletrônicos||Automação,Dissertação
Metodologia e ferramenta de coleta de dados voláteis em sistemas Windows,"Auler, Pedro",2011-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10346,,Acesso Aberto,,Informática forense||Sistemas operacionais (Computadores),Dissertação
"Metodologia para a aplicação da aprendizagem orientada por projetos (aopj), nos cursos de engenharia, com foco nas competências transversaisMetodologia para a aplicação da aprendizagem orientada por projetos (aopj), nos cursos de engenharia, com foco nas competências transversais","Santana, Adriano César",2009-03-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5234,,Acesso Aberto,,Engenharia - estudo e ensino||Aprendizagem||Método de projeto no ensino,Tese
Metodologia para a determinação dos impactos técnicos e financeiros provocados pela instalação de geração distribuída fotovoltaica em um sistema de distribuição,"Stecanella, Priscilla Araújo Juá",2020-12-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40787,,,Acesso Aberto,Geração distribuída fotovoltaica||Impacto ambiental||Energia fotovoltaica||Energia renovável||Energia elétrica - distribuição,Tese
Metodologia para análise de risco de investimento em fontes de geração heliotérmica do tipo torre solar no mercado regulado brasileiro,"Oliveira, Túlio André Pereira de",2020-12-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40454,,,Acesso Aberto,Análise de risco||Energia renovável||Modelagem econômica||Fontes heliotérmicas||Método de Monte Carlo,Dissertação
Metodologia para descrição de células analógicas como IP,"Pimentel, João Vitor Bernardo",2009-08-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4364,,Acesso Aberto,,Circuitos integrados||VHDL (Linguagem descritiva de hardware),Dissertação
Metodologia para desenvolvimento de procedimentos e planejamento de auditorias de TI aplicada à Administração Pública Federal,"Hanashiro, Maíra",2007-09-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2741,,Acesso Aberto,,Tecnologia da informação - auditoria||Administração pública,Dissertação
Metodologia para desenvolvimento de soluções baseadas em arquitetura orientada a serviços para força de trabalho terceirizada,"Vidigal Júnior, Armando Amorim Ferreira",2013-08-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/14719,,Acesso Aberto,,Engenharia de software||Software - desenvolvimento||Arquitetura Orientada a Serviços (SOA),Dissertação
Metodologia para evolução topológica de redes ópticas de transmissão - implantação da Tecnologia ASON,"Piqueira, Alexandre",2008-10-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2131,,Acesso Aberto,,Otimização de redes||Projeto de redes||Topologia||Redes ópticas de transmissão||Rede em malha,Dissertação
Metodologia para implementação de arcabouços inteligentes para o auxilio ao Projeto de Redes de Sensores Sem Fio,"Zoby, Letícia Toledo Maia",2013-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/36184,,,Acesso Aberto,Redes de sensores||Inteligência artificial||Ecologia de estradas,Tese
Metodologia para interceptação de dados cifrados aplicada em investigações criminais,"Carvalho, Rodrigo Alves",2012-02-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11401,,Acesso Aberto,,Criptografia||Interceptação de dados||Inforrmática forense,Dissertação
Metodologia para medidas objetivas de qualidade de vídeo em sistemas de difusão de conteúdos audiovisuaisMetodologia para medidas objetivas de qualidade de vídeo em sistemas de difusão de conteúdos audiovisuais,"Graciano Júnior, Márcio Lucas",2013-03-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13814,,Acesso Aberto,,Vídeo digital - qualidade||Recursos audiovisuais,Tese
Método de avaliação de maturidade para a implantação de sistemas de informação estratégica em empresas de tecnologia da informação e comunicação,"Castro Junior, Joaz Soares",2007-10-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2716,,Acesso Aberto,,Planejamento estratégico||Sistemas de informação gerencial,Dissertação
Método de avaliação dos impactos técnicos e financeiros da integração de baterias em redes de distribuição com microgeração fotovoltaica,"Camargos, Ronaldo Sérgio Chacon",2022-02-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43542,,,Acesso Aberto,Baterias eletroquímicas||Geração distribuída fotovoltaica||Geração de energia fotovoltaica||Sistemas de armazenamento de energia||Energia elétrica - distribuição,Tese
Método de controle de injeção de potência de painéis fotovoltaicos conectados a alimentadores radiais de distribuição,"Junges, Rodrigo Santos",2012-08-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/36977,,,Acesso Aberto,Geração distribuída de energia elétrica||Redes inteligentes||Painéis fotovoltaicos,Dissertação
