dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Análise da evolução dos sistemas de telecomunicações móvel e fixo no Brasil e desenvolvimento de uma proposta para a prestação de serviço convergente,"Ramos, Bruno de Carvalho",2006-09-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3555,,Acesso Aberto,,Telecomunicações - Brasil||Telefonia celular,Dissertação
Análise da governança regulatória do setor de telecomunicações brasileiro : uma visão sobre a qualidade do processo de regulamentação utilizando uma abordagem sistêmica,"Santos, Rodrigo Santana dos",2012-04-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10781,,Acesso Aberto,,Agências reguladoras||Tecnologia da informação,Dissertação
"Análise da influência das componentes de sequência positiva, negativa e zero sobre as temperaturas de um motor de indução trifásico","Silva, Marcos Diego de Castro e",2014-03-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16898,,Acesso Aberto,,Tensão induzida||Motores elétricos de indução||Calor - transmissão,Dissertação
Análise da modelagem de canais sem fio sob desvanecimento κ-μ sombreado com aplicações de segurança na camada física e considerações de combate ao desvanecimento,"Nunes, Márcia Manuela Medrado",2017-12-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/32459,,,Acesso Aberto,Canal óptico||Canais de comunicação||Redes de comunicação||Segurança da informação||Sistemas de comunicação sem fio,Dissertação
Análise da potência de recepção do beacon do SGDC em banda Ka na presença de chuva,"Bomfim, Caio Cesar Goulart",2022-12-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/45953,,,Acesso Aberto,Comunicação via satélite||Banda Ka||Sistemas de comunicação||Tecnologias de comunicação,Dissertação
Análise da taxa de rejeição sistêmica para diversos esquemas de modulação,"Nunes, Rafael Rabelo",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4127,,Acesso Aberto,,Antenas (Eletrônica)||Modulação (Eletrônica),Dissertação
Análise da transformada wavelet direcional adaptativa na codificação de imagens,"Oliveira, Karen França de",2009-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4125,,Acesso Aberto,,Wavelets (Matemática)||Processamento de imagens||Processamento de sinal adaptativo,Dissertação
Análise da viabilidade de corantes naturais empregados como camada ativa em  dispositivos eletrônicos,"Pereira, Vilany Santana",2021-01-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40975,,,Acesso Aberto,Eletrônica orgânica||Sustentabilidade||Corantes naturais,Tese
Análise das temperaturas de um motor de indução submetido conjunta e individualmente a distorções harmônicas e desequilíbrios de tensão : ensaios laboratoriais e simulações computacionais,"Rosa, Guilherme Zanetti",2018-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34107,,,Acesso Aberto,Qualidade da energia||Desequilíbrio de tensão||Motor de indução||Distorção harmônica,Dissertação
Análise de ampliação de infraestrutura de um centro de dados : sistema tradicional versus híbrido,"Morais, Dayler Losi de",2010-08-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8533,,Acesso Aberto,,Engenharia elétrica||Desenvolvimento sustentável,Dissertação
Análise de cenários para substituição da rede telefônica pública comutada por rede de nova geração,"Moura, Patrícia Souza de",2007-10-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3750,,Acesso Aberto,,Sistemas de comunicação móvel||Sistema de posicionamento global||Telefonia pela internet,Dissertação
Análise de contratos de terceirização de TI na Administração Pública Federal sob a ótica da Instrução Normativa n°4,"Guarda, Graziela Ferreira",2011-03-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8678,,Acesso Aberto,,Tecnologia da informação||Contratos - serviço público||Terceirização,Dissertação
Análise de códigos de dispersão linear com canal de realimentação não ideal,"Tavares, Fernando Menezes Leitão",2009-07-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6516,,Acesso Aberto,,Telefonia celular||Engenharia elétrica,Dissertação
Análise de custo-benefício da implantação das redes elétricas inteligentes nas concessionárias de distribuição de energia elétrica do Brasil,"Vasconcelos, Marcos Venicius Leite",2016-12-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23053,http://dx.doi.org/10.26512/2016.12.D.23053,Acesso Aberto,,Redes elétricas||Concessionárias||Energia elétrica - Brasil,Dissertação
Análise de desempenho das concessionárias de transmissão com a aplicação da parcela variável,"Almeida, Giácomo Francisco Bassi",2010-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6003,,Acesso Aberto,,Energia elétrica - transmissão||Concessionárias||Engenharia elétrica,Dissertação
Análise de desempenho de composição de redes em redes de ambiente,"Spínola, Maurício Suhet",2008-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4122,,Acesso Aberto,,Redes de computação,Dissertação
Análise de desempenho de diversidade multiusuário com modulação adaptativa em canais em desvanecimento α-µ,"Ataides, Kaiê Pimentel",2015-03-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18377,http://dx.doi.org/10.26512/2015.03.D.18377,Acesso Aberto,,Eficiência espectral||Taxa de erro de bit||Redes celulares,Dissertação
Análise de desempenho de redes de rádios cognitivos sob canais em desvanecimento generalizado,"Pereira, Fábio von Glehn",2013-08-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/14861,,Acesso Aberto,,Sistemas de telecomunicações||Interconexão em rede (Telecomunicações)||Sistemas de comunicação sem fio,Dissertação
