dc.title[pt_BR],dc.identifier.uri,dc.date.issued[pt]
Equivalent mechanical model of rectangular container attached  to a pendulum compared to experimental data and analytical solution,http://repositorio2.unb.br/jspui/handle/10482/48027,2020-02-20
Technical efficiency of brazilian exporters of animal protein,http://repositorio.unb.br/handle/10482/12608,2012
DNA testing for parentage verification in a conservation nucleus of Pantaneiro horse,http://repositorio.unb.br/handle/10482/27348,2008
Olhares sobre a África : abordagens da história contemporânea da África nos livros didáticos brasileiros,http://repositorio.unb.br/handle/10482/5970,2009
Efficacy of mHealth interventions for improving the pain and disability of individuals with chronic low back pain : systematic review and meta-analysis,http://repositorio.unb.br/handle/10482/50897,2023-02-11
Influence of lossy ground on high-frequency induced voltages on aboveground pipelines by nearby overhead transmission lines,http://repositorio2.unb.br/jspui/handle/10482/48812,2022-09-20
O papel da consangüinidade na esquistossomose hepatosplênica em certas áreas endêmicas,http://repositorio.unb.br/handle/10482/25141,1988-06
Is naming brands in English worth doing? : effects of foreignness and country of origin on brand equity||Nomear marcas em inglês vale a pena? : efeitos do estrangeirismo e do país de origem no valor da marca,http://repositorio.unb.br/handle/10482/33623,2018
Outcome of sleepiness and fatigue scores in obstructive sleep apnea syndrome patients with and without restless legs syndrome after nasal CPAP,http://repositorio.unb.br/handle/10482/12473,2007
Redes de movimentos sociais e o resgate da esfera pública,http://repositorio.unb.br/handle/10482/21672,2011-01
O status quo do relato integrado no setor público brasileiro,http://repositorio2.unb.br/jspui/handle/10482/46659,2022-10-03
Application of xylanases from Amazon Forest fungal species in bleaching of eucalyptus kraft pulps,http://repositorio.unb.br/handle/10482/5937,2007
Proposta de um novo currículo pleno para o curso de Biblioteconomia da Universidade de Brasília,http://repositorio.unb.br/handle/10482/17562,1983
A influência das variáveis ambientais e organizacionais no desempenho de startups,http://repositorio.unb.br/handle/10482/21567,2016-01
Os problemas da justificação epistêmica no tradicionalismo religioso,http://repositorio.unb.br/handle/10482/51500,2024-11-26
Efficiency of prey subjugation by one species of Myrmeleon larvae (Neuropetra: Myrmeleontidae) in the central Amazonia,http://repositorio.unb.br/handle/10482/26791,2006
"In vitro effects of European and Latin-American medicinal plants in CYP3A4 gene expression, glutathione levels, and P-glycoprotein activity",https://repositorio.unb.br/handle/10482/45204,2022-10-05
Identificação das assinaturas temporais NDVI das principais fisionomias da região do Ecomuseu do cerrado,http://repositorio.unb.br/handle/10482/10078,2007
Vazão e tratamento secundário de esgoto doméstico em estação de pequeno porte com sistema de zona de raízes,https://repositorio.unb.br/handle/10482/41137,2019-10-30
"Preparation, characterisation and evaluation of brazilian clay-based catalysts for use in esterification reactions",http://repositorio.unb.br/handle/10482/28436,2012
Floristic composition and community structure of a seasonally deciduous forest on limestone outcrops in central Brazil,http://repositorio.unb.br/handle/10482/10445,2007-10
The identity of some unrecognized Neotropical Bombycoidea (Lepidoptera) described by Francis Walker,http://repositorio.unb.br/handle/10482/25740,2001
Discurso gerencial no controle de docentes em instituições de Ensino Superior privadas : uma análise crítica,https://repositorio.unb.br/handle/10482/36535,2019
Características da medição de desempenho organizacional : um estudo descritivo nos hospitais do estado do Rio Grande do Norte,http://repositorio.unb.br/handle/10482/14422,2011-06
Associational resistance using wild and commercial tomato genotypes employed in the management of tomato virus vectors,http://repositorio.unb.br/handle/10482/48139,2024
Reabilitação de edificações em áreas centrais : contribuições do research by design para o Edifício Sulamérica (Recife),http://repositorio.unb.br/handle/10482/48087,2023
Fuga a três vozes,https://repositorio.unb.br/handle/10482/44307,2018-01-30
Regras importam : determinantes do controle burocrático no Programa Bolsa Família,http://repositorio.unb.br/handle/10482/30549,2017-09
Redbioética : uma iniciativa da UNESCO para a América Latina e o Caribe,http://repositorio.unb.br/handle/10482/24693,2010
What is the relation between Brazilian Foreign Policy and the implementation of bilateral technical cooperation projects in African Countries? Lessons from a South-South cooperation project implemented by the Brazilian National School of Public Administration - ENAP (2009-2012),http://repositorio.unb.br/handle/10482/30544,2017
